g_1_CQYpEuH7;Kastrioti;Flamurtari
g_1_C2zsbH19;Ouriense W;Maritimo W
g_1_Otfnxzuj;Sporting W;A-dos-Francos W
g_1_2Xhjyffd;Vilaverdense W;Braga W
g_1_zeKSpPfU;CFR Cluj;U Craiova 1948 CS
g_1_4IbQTGEC;U. Cluj;UTA Arad
g_1_Ac63dHYe;Spartak Moscow;Ufa
g_1_ll57eyl2;Zenit Petersburg;CSKA Moscow
g_1_0400KMPR;FK Chimki Moskovska oblast;FC Tambov
g_1_OpYpCkYp;T. Moscow;R. Volgograd 2
g_1_KIAbVKNA;Tre Fiori;Tre Penne
g_1_MLHcmiEA;Rangers;Celtic
g_1_MadESDCo;Hougang;Balestier Khalsa
g_1_x440Y3Kn;Zilina B;Pohronie
g_1_U7Qpd0m8;Triglav;Celje
g_1_d8k1nEeG;Brda;Bravo
g_1_hGUytCYq;Ilirija;Bilje
g_1_vXKXFqTi;Supersport Utd U21;Orlando Pirates U21
g_1_0tMTGPDo;Mamelodi Sundowns U21;Golden Arrows U21
g_1_6exvNCja;Jeju Utd;Suwon Bluewings
g_1_lKsZNhyg;Gyeongnam;Gangwon
g_1_pnyrMW55;Ulsan Hyundai;Jeonbuk
g_1_p8YvvCI3;Anyang;Ansan Greeners
g_1_2qqzuh3c;Busan;Gwangju FC
g_1_bBxqwWX9;Bucheon FC 1995;Asan Mugunghwa
g_1_zDy4RjZl;Ath Bilbao;Celta Vigo
g_1_lGu8QAle;Atl. Madrid;Sevilla
g_1_rwuCPU31;Barcelona;Getafe
g_1_MTwGOlJ7;Betis;Huesca
g_1_boNbmYe8;Girona;Levante
g_1_lG1wtjlr;Leganes;Espanyol
g_1_xxM2nhBE;Rayo Vallecano;Valladolid
g_1_S60suA3l;Real Sociedad;Real Madrid
g_1_WbL6oCQK;Valencia;Alaves
g_1_rZOApWuR;Villarreal;Eibar
g_1_tjnjQwvp;Almeria;Elche
g_1_ImmjqJpM;Dep. La Coruna;Cadiz CF
g_1_boXlouG9;Rayo Majadahonda;Albacete
g_1_dvnfrw0S;Las Palmas;Cordoba
g_1_2eoxeLJt;Burgos;Celta Vigo B
g_1_bNIFwKl6;Coruxo FC;Unionistas
g_1_OUFRzIYO;Guijuelo;Valladolid B
g_1_8YP2tM4m;Las Palmas B;Union Adarve
g_1_dIptfuZn;Ponferradina;Fuenlabrada
g_1_2eP6utKg;Pontevedra;Atl. Madrid B
g_1_GbTAv0Za;Rapido de Bouzas;Real Madrid B
g_1_QZgAa1BP;Salmantino;Internacional de Madrid
g_1_xEHJxv4C;San Sebastian Reyes;Leonesa
g_1_OAHcUeME;Amorebieta;Langreo
g_1_zkcYNgar;Ath Bilbao B;R. Union
g_1_82ZA6hU7;Gernika;Durango
g_1_pKIgVy78;Leioa;Barakaldo
g_1_vNsfAzVr;Mirandes;CD Vitoria
g_1_UBz77YE1;R. Oviedo B;Santander
g_1_MoXb9fpk;R. Sociedad B;Arenas Club
g_1_IXG1TFyL;Torrelavega;Gijon B
g_1_U7K5SZjR;Tudelano;Calahorra
g_1_zky38Eae;UD Logrones;Izarra
g_1_EJYJCk7P;Ontinyent;Badalona
g_1_GSKo89Ft;Baleares;Lleida
g_1_biAj7TUn;Barcelona B;Hercules
g_1_CfEf6mpg;Conquense;Castellon
g_1_QcdTkSaC;Ebro;Cornella
g_1_8MoYlnFI;Espanyol B;Levante B
g_1_6HDb57aa;Peralada;Alcoyano
g_1_p8C24RE5;Sabadell;Ejea
g_1_CfhPj8p6;Teruel;Olot
g_1_nDpxl6UO;Villarreal B;Valencia B
g_1_zBpGlsV3;CD Badajoz;Sevilla FC B
g_1_WObjYLpN;CF Talavera;Cartagena
g_1_Qu3PRJNj;El Ejido;Almeria B
g_1_A9AszrGA;Granada CF B;Recreativo Huelva
g_1_l09oZ1VG;Linense;Don Benito
g_1_U9HgXu0T;Marbella;UCAM Murcia
g_1_tloCkNFc;Murcia;Melilla
g_1_nk4LSa8p;San Fernando;Jumilla
g_1_dzSycHqq;UD Ibiza-Eivissa;Malaga B
g_1_lElKm1pA;Villanovense;Sanluqueno
g_1_OUFwoft0;Alondras;Celtiga
g_1_xEDRmdds;Arosa SC;Ribadumia
g_1_0YZ9VEtD;Barco;CD Choco
g_1_I9p5WfR6;Boiro;Bergantinos
g_1_jHHVnGBm;Compostela;Somozas
g_1_WWzahxlQ;Ferrol;Racing Club Villalbes
g_1_bqxZZlkd;Paiosaco;Ourense CF
g_1_vPYDUYeJ;Porrino Industrial;Arenteiro
g_1_pvHZozRg;Silva SD;Polvorin
g_1_htxegIYJ;UD Ourense;Laracha
g_1_SbCad96h;Llanera;Universidad Oviedo
g_1_foEibVyt;Condal;Union Club Ceares
g_1_llgWfdVm;Caudal Deportivo;Llanes
g_1_YyDeckin;La Madalena;Gijon Industrial
g_1_SvhzfGpf;Mosconia;El San Martin
g_1_A3sugz00;CD Colunga;San Claudio
g_1_O6oqhfF6;Praviano;Covadonga
g_1_ITpmiEUC;Tuilla;Marino de Luanco
g_1_t2G3eTLb;L'Entregu;Lealtad
g_1_dKqijYqJ;Real Aviles;Club Siero
g_1_ML9G2KZL;CE Europa;Horta
g_1_lfWZksjG;Granollers;Castelldefels
g_1_SbAC30KF;Martinenc;Sant Andreu
g_1_WWG35Mk3;Prat;Vilafranca
g_1_bTL9quTq;Reus Deportiu B;UE Sants
g_1_htIa62zc;San Cristobal CP;Santfeliuenc
g_1_l8B84t59;UE Figueres;Cerdanyola
g_1_dKZslLKS;Terrassa;Asco
g_1_SpVwk15M;Llagostera Costa Brava;FE Grama
g_1_vukXSPyq;Paiporta;Eldense
g_1_n5huR36e;Vilamarxant;Orihuela
g_1_UTspQNL1;Atzeneta;La Nucia
g_1_t4olPsy8;Crevillente;Novelda CF
g_1_xW25X5TR;Olimpic Xativa;Elche CF Ilicitano B
g_1_f7ZVmRD8;Paterna;Acero
g_1_f7D0YoEL;Rayo Ibense;Villarreal C
g_1_t49dZRbF;Torre Levante;Saguntino
g_1_zmAUUeVR;Alcobendas;Rayo Vallecano B
g_1_Spk9NDN1;Alcorcon B;Tres Cantos
g_1_tQAQVyGL;Getafe B;Atletico Pinto
g_1_xdddQFwq;Parla;Canillas
g_1_pbHHXco9;Trival Valderas;Pozuelo de Alarcon
g_1_67IDYwW2;Las Rozas;Carabanchel
g_1_YNk5Og8e;Santa Ana;Vicalvaro
g_1_SM6MWH0F;San Fernando;CD Mostoles
g_1_GEgVjUJs;Bupolsa;Arandina
g_1_bwqzjlZm;G. Segoviana;Bembibre
g_1_pfonmnJ6;Numancia B;La Baneza
g_1_SIzin6YC;Zamora;Cebrerena
g_1_4YESha3g;Atarfe Industrial;CD Torreperogil
g_1_AVHziwY5;Velez;Motril
g_1_6cBqkH2I;Rincon;Alhaurin
g_1_plAmlyIO;Guadix;Juventud Torremolinos
g_1_Iyu27bIn;Jaen;Loja
g_1_zDkc8v3t;Linares;UD San Pedro
g_1_M9PNgulm;Huetor Tajar;Mancha
g_1_G8IWiJIa;Martos;CP Almeria
g_1_rJQJfLYt;Torredonjimeno;Huetor Vega
g_1_Y9tovz0F;CD Gerena;Lebrijana
g_1_CfhxtdV2;CD Utrera;Arcos CF
g_1_pppkwfFL;Ecija;Xerez D.F.C.
g_1_pl0jIhwd;Betis B;Puente Genil
g_1_joituGp9;Sevilla FC C;Cabecense
g_1_2PAoJYNk;Conil;Coria C.F.
g_1_tGVKXXxq;Cadiz CF B;Algeciras
g_1_jHauYyzh;Formentera;Platges de Calvia
g_1_IiJMpFJc;Santa Catalina Atletico;Manacor
g_1_CfSWNiCp;Binissalem;Ferriolense
g_1_QcWzNBRj;Soller;Pena Deportina
g_1_6Dk4SX3T;Son Cladera;Mallorca B
g_1_C6AhutaL;CD Marino;Union Viera
g_1_dvnPZJMr;Club Atletico Tacoronte;El Cotillo
g_1_0W6ltMqF;La Cuadra;Santa Ursula
g_1_fVacv0ER;Mensajero;SD Tenisca
g_1_j1PcJbx2;San Fernando;Ibarra
g_1_SI8trrF2;Villa Santa Brigida;Tenerife B
g_1_697ps2U8;Yaiza;CD Buzanada
g_1_EP5ow4bO;Estudiantes de Murcia;La Union
g_1_Q3Z3eoEh;Huercal-Overa;UD Los Garres
g_1_Wtz0dRbn;Deportiva Minera;Minerva
g_1_0MRGhqbB;Cartagena B;Muleno
g_1_IwWec7qt;Club Olimpico de Totana;UCAM Murcia B
g_1_hG4kxODU;Yeclano;Lorca FC
g_1_4fY7f5Tb;CA Pulpileno;CAP Ciudad de Murcia
g_1_MVSCgPr5;Lorca Deportiva;Mazarron CF
g_1_CpTQ0asa;Extremadura UD B;Montijo
g_1_AsU1dpjD;Castuera;Moralo
g_1_Cn8pLTSD;Jerez CF;Valdivia
g_1_GIZH2LCn;Diocesano;Azuaga
g_1_MezE31ct;AD Llerenense;UP Plasencia
g_1_WjVccQz7;Arroyo;Olivenza
g_1_b1VxbcRH;RCP Valverdeno;Aceuchal
g_1_dzlMATvc;Berceo;Pradejon
g_1_2NiWm6Xq;Varea;Agoncillo
g_1_fV9wnp2d;CF Rapid;Yague
g_1_zRnQ9mf3;Anguiano;SD Logrones
g_1_APCieluA;Arnedo;Autol
g_1_40iU8799;CDFC Calzada;River Ebro
g_1_rwBagS9M;Logrones Promesas;Naxara
g_1_dpizmQnj;Vianes;Oyonesa
g_1_0E54hnPS;CCD Alberite;Calasancio
g_1_ClgvxOsH;Tarazona;UD Casetas
g_1_YReBzWN9;Villanueva CF;Almudevar
g_1_fDrqyrcN;Calamocha;Belchite 97
g_1_0Ec3xhgc;Sabinanigo;Atletico Monzon
g_1_4nUEVLKp;CF Illueca;Robres
g_1_Y3smz2CT;La Almunia;Binefar
g_1_bokzw4SA;Sarinena;Zaragoza B
g_1_nBgawYwi;Tamarite;Brea
g_1_fyc7yC83;Utebo FC;Borja
g_1_refl5OGS;Socuellamos;La Solana
g_1_p4tG0rPq;Mora CF;Tarancon
g_1_2uyLa2vj;Puertollano C.F.;Toledo
g_1_lYfp641M;Almagro;Marchamalo
g_1_O86aiwAf;Djurgarden;AIK
g_1_je8igaur;Malmo FF;Elfsborg
g_1_OKI4pgYq;Osters;Vasteras SK
g_1_IeX7qDmj;Brage;Norrby
g_1_CfEb6ze3;Syrianska;Mjallby
g_1_jmW3EfQR;Umea FC;Carlstad
g_1_zcTiHdt9;Linkoping City;Karlstad
g_1_MVMZ8Ymk;Sandvikens;Akropolis
g_1_8OtaFzBL;Vasalunds;Nykopings
g_1_2Xn7UcpF;Oddevold;Oskarshamns
g_1_Ycr3VwV8;Kristianstads;Tvaakers
g_1_vcAzDVEs;Varnamo;Atvidabergs
g_1_ldqA5Ch3;IFK Ostersund;IFK Lulea
g_1_OIDgcl0q;Ytterhogdals;Pitea
g_1_xY1MGiWL;Gute;Sundbybergs
g_1_Ek9qQAfb;Vinbergs;Onsala
g_1_lfG2cBZi;Varmbols;Stockholm Internazionale
g_1_EFz4LTdG;Lidkopings FK;Vargarda IK
g_1_AVLrYzH2;IFK Hassleholm;Hassleholms IF
g_1_GvojXXZa;Pitea W;Kristianstads W
g_1_6XwI26ra;Borgeby W;Sundsvall W
g_1_pOxM1Qc5;Assi W;Hammarby W
g_1_zVvLwKaI;Luzern;Grasshoppers
g_1_ELwPxvFO;St. Gallen;Sion
g_1_4pJYds0t;Young Boys;Basel
g_1_tpgWQ2xG;Oberwallis Naters;Lancy
g_1_je0JT4hc;Martigny;Vevey
g_1_UBzL258G;Langenthal;Zug
g_1_bXD3fsGd;Delemont;Goldau
g_1_ImyZMHXn;Chainat;Port MTI FC
g_1_dvzwMymg;Chiangmai FC;Bangkok Utd
g_1_EFUsLe2a;Prachuap;Suphanburi
g_1_h6ToKFH5;Ratchaburi;Sukhothai
g_1_M34XxAw7;Etoile Sahel;US Tataouine
g_1_lAdJ0DVD;Sfaxien;Stade Tunisien
g_1_vZegNHxP;Kayserispor;Kasimpasa
g_1_Slkyn1FP;Konyaspor;Trabzonspor
g_1_YV5YRuOg;Basaksehir;Ankaragucu
g_1_0rckOcNI;Yeni Malatyaspor;Erzurum BB
g_1_KASfUdQ6;Adana Demirspor;Balikesirspor
g_1_MwkQqxQg;Altinordu;Boluspor
g_1_8W8kjvmQ;Denizlispor;Kardemir Karabuk
g_1_lQjIobes;Gaziantep;Genclerbirligi
g_1_SGkMpIAm;Hatayspor;Giresunspor
g_1_YDhUrdu0;Osmanlispor;Altay
g_1_GxM3SzeJ;Umraniyespor;Istanbulspor AS
g_1_0ETOxl0j;Arsenal Kiev;Ch. Odessa
g_1_6iUKwUpp;Desna;Olimpik Donetsk
g_1_UVxgrAxT;Vorskla Poltava;Karpaty
g_1_EBWEu5FG;Penarol;Nacional
g_1_SlJvcTFD;Columbus Crew;Los Angeles FC
g_1_th7MLChE;New England Revolution;San Jose Earthquakes
g_1_vwQPKW7K;Chicago Fire;Minnesota United
g_1_M1FUJjNQ;Colorado Rapids;Real Salt Lake
g_1_OA1dFAVs;Seattle Sounders;Houston Dynamo
g_1_hp60EUpl;Atlanta United;Orlando City
g_1_4dq4kcS1;Charlotte Independ.;Loudoun
g_1_Q5p0jwDe;Charleston;Saint Louis FC
g_1_8UkeiJck;Birmingham;Louisville City
g_1_IaXoEt52;Nashville SC;Swope Park
g_1_W2yjD0K8;San Antonio;Orange County SC
g_1_hIPbBvkL;Las Vegas Lights;Colorado Springs
g_1_ERQfCKZE;Sacramento Republic;Reno
g_1_YBgCs3VG;Ottawa Fury;North Carolina
g_1_pUJx4dse;Tacoma Defiance;Portland 2
g_1_SdFBPr02;Chattanooga;Forward Madison
g_1_YgIJNMUE;Lansing;Greenville
g_1_vXIFO2F8;Richmond Kickers;Tucson
g_1_2X2orsnD;Portland Phoenix;Seacoast Utd Phantoms
g_1_GziT6QOD;Evergreen;Euro New York
g_1_SCJdkbgt;Lakeland Tropics;Daytona
g_1_Ay91lI8n;Lehigh Valley;Reading
g_1_Ot4sqNW6;Wake FC;Carolina Dynamo
g_1_I1C9ndwa;Long Island;Cedar
g_1_dhBDoGh5;Westchester;Boston Bolts
g_1_WOIPrExO;San Diego Zest;San Francisco City
g_1_x2JLqfNH;Texas United;Brazos Valley Cavalry
g_1_vH0Ipz8B;Tormenta II;Peachtree City MOBA
g_1_AFHTsYiU;Menace;Green Bay Voyageurs
g_1_Aklz3HNu;Orange County SC II;Glens SC
g_1_WdGS7t9s;Orlando Pride W;Portland Thorns W
g_1_ANZ6Sr5a;Bunyodkor;Kokand 1912
g_1_lEYAR2K5;Termez Surkhon;Bukhoro
g_1_6kTFQMZB;Met. Bekobod;Lok. Tashkent
g_1_dEO0VHR5;AC Lala FC;Estudiantes Merida
g_1_G4GhXwcg;Dep. Tachira;Aragua
g_1_EkZeWcCa;Estudiantes Caracas;Dep. Anzoategui
g_1_MsHlYJsm;Lara;Trujillanos
g_1_z5N4UysC;Llaneros;Zulia
g_1_rVQCSFBO;Portuguesa;Monagas
g_1_pz5eialP;Zamora;Puerto Cabello
g_1_ru8uFDKQ;Da Nang;Khanh Hoa
g_1_lI8yGg5K;Hai Phong;Song Lam Nghe An
g_1_plf7AXSs;The Cong;Gia Lai
g_1_WbR5XKks;Japan U19 W;North Korea U19 W
g_1_p2V9Wv5m;Haiti U19 W;Mexico U19 W
g_1_pxzdSbYs;USA W;South Africa W
g_1_j59CAwgj;Herentals;Manica
g_1_p4j3X003;Hwange;Chapungu Utd
g_1_W0naYtoc;TelOne;Platinum
g_1_vRk7WKF9;Triangle;CAPS Utd
g_1_Ue8G9c8d;Yadah;Dynamos
g_1_0QuOUfbQ;Velez Sarsfield;Boca Juniors
g_1_GjDnJ5YE;Deportivo Armenio;Excursionistas
g_1_KOJwLR32;Dock Sud;Berazategui
g_1_6LVedrR1;General Lamadrid;Central Cordoba
g_1_fsCjIPmL;Laferrere;Leandro N. Alem
g_1_OGGfHq3R;San Martin Burzaco;Sportivo Italiano
g_1_080eb4dk;Sportivo Barracas;El Porvenir
g_1_IgKf2pMN;Al Ahed (Leb);Malkia (Bah)
g_1_v3Lj3Q6H;Al Suwaiq (Oma);Al Qadisiya (Kuw)
g_1_AVqxXUFd;San Jose;Sport Boys
g_1_xIoUYjop;Blooming;Oriente Petrolero
g_1_ELkzNHI0;Athletico-PR;Bahia
g_1_t8iSOwll;Avai;CSA
g_1_z78qX1t8;Fortaleza;Sao Paulo
g_1_IXxkqkzH;Nautico;Ferroviario
g_1_8CzSyrDo;Bistritsa;Dunav Ruse
g_1_WIRmbte6;Cotonsport;Feutcheu
g_1_I3msPijR;U. Espanola;U. De Concepcion
g_1_OOCKY1Jh;U. De Chile;Coquimbo
g_1_bVYp9he9;America De Cali;Millonarios
g_1_CYxk8CAF;Junior;Atl. Nacional
g_1_vsUiZf0f;Saprissa;San Carlos
g_1_fuXbjPJq;Brondby;Nordsjaelland
g_1_YVRhhSLC;Emelec;Barcelona SC
g_1_tYxyzagk;Alianza FC;Pasaquina
g_1_KOyuZI8e;Municipal Limeno;Chalatenango
g_1_nwvLedri;Forest Green;Tranmere
g_1_ncbLeYGH;Southampton U23;Newcastle Utd U23
g_1_MckDZWig;Italy U17;Portugal U17
g_1_8fo9zDxm;Hungary U17;Spain U17
g_1_joNUUJp4;Skala Itrottarfelag;Klaksvik
g_1_CCRgWQM1;Vikingur;Streymur
g_1_QDfj6bHj;KTP;Ekenas
g_1_YDlqVP8q;KuFu-98;Kajaanin Haka
g_1_vVi01Vgg;Gibraltar United;Glacis United
g_1_fPfssnc3;Municipal;Malacateco
g_1_GthujEGj;Baltimore;Triomphe Liancourt
g_1_xjgyif1p;Violette;Tempete
g_1_UiCdoUo5;Motagua;Marathon
g_1_IkAg5x83;Real de Minas;Juticalpa
g_1_pA1Db90K;Hapoel Hadera;Maccabi Haifa
g_1_pzP6byCk;H. Akko;Hapoel Iksal Imad
g_1_l4wy4clS;H. Marmorek;Ramat Hasharon
g_1_2BJBceRe;Hapoel Petah Tikva;H. Ironi Rishon
g_1_6qQ2aHdq;M. Nazareth;Hapoel Bnei Lod
g_1_ABVOzjVE;Bologna;Parma
g_1_WbofllrH;Inter;Chievo
g_1_AX6um8wP;Fiorentina U19;Palermo U19
g_1_viHCchgh;Valmiera;Riga FC
g_1_GzVvqtSh;Dainava Alytus;Stumbras 2
g_1_v5G5KJg2;Cruz Azul;Club America
g_1_Wb3irNo9;Monterrey;Necaxa
g_1_Cr01Z0zB;IR Tanger;Olympique de Safi
g_1_rH3AN1GH;Jong Den Haag;Jong Feyenoord
g_1_M72EMLVN;Jong Sittard;Jong Willem II
g_1_Qw6Q7Dxg;Jong Heerenveen;Jong Roda
g_1_Cz2M8gNn;Jong Dordrecht;Jong Achilles 29
g_1_dzdIcH3n;Ferretti;Managua FC
g_1_KdevtIN8;Gombe;Ifeanyi Ubah
g_1_QXUVYsCl;Mexico U17;El Salvador U17
g_1_neVPkroo;Portmore;Real du Cap
g_1_0bJ7ERNo;Waterhouse;Capoise
g_1_6FxavdIg;Stromsgodset;Viking
g_1_rg9PAvMt;Senja;Odd 2
g_1_d8ejFll6;Aalesund 2;Sarpsborg 2
g_1_ULgbDSII;Lorenskog;Molde 2
g_1_rPc2CnYO;Nordstrand;Stabaek 2
g_1_GCSGV9Yn;Arvoll;Krakeroy
g_1_buWyo5kB;Valerenga 2;Grei
g_1_YXYPm75h;Mjondalen 2;Lokomotiv Oslo
g_1_p0ho12NI;Flekkeroy;Start 2
g_1_vq78ZswE;Brann 2;Bergen Nord
g_1_CpcIK34I;Verdal;Kongsvinger 2
g_1_r551Oo5g;Rosenborg 2;Kolstad
g_1_EV0cPRkm;Raufoss 2;Brumunddal
g_1_MXHNVcm0;Honefoss;Ull/Kisa 2
g_1_0KKKkK1A;Libertad Asuncion;Sp. Luqueno
g_1_zwDXnIoT;River Plate;Olimpia Asuncion
g_1_tjbg9lkC;Alianza Lima;FBC Melgar
g_1_tAMRp87m;Sporting Cristal;U. San Martin
g_1_vN58Uz9h;Arka Gdynia;Wisla
g_1_0IoZ58Qu;Viitorul Constanta;Astra
g_1_rkFcr06r;FK Chayka;Chernomorets Novorossijsk
g_1_QFyHi65d;St. Mirren;Hamilton
g_1_xlzk9p1k;Boeun Sangmu W;Changnyeong W
g_1_rowc7OV1;Hwacheon W;Gyeongju W
g_1_WAZh84Ge;Incheon Hyundai Steel W;Gumi Sportstoto W
g_1_bcyoAQoq;Seoul W;Suwon FMC W
g_1_jLTtm1oc;Malaga;R. Oviedo
g_1_0A1K0sm8;Norrkoping;Goteborg
g_1_rHF6dVlb;Newroz;Assyriska FF
g_1_6q4tQJh6;Besiktas;Alanyaspor
g_1_2RD3XAy6;Kastamonuspor;Sariyer
g_1_AiHBVl6I;Karagumruk;Sanliurfaspor
g_1_GUH7WUjC;Manisa;Tuzlaspor
g_1_K2ObYjMa;Samsunspor;Sakaryaspor
g_1_Wz54Dl0f;DC United;Sporting Kansas City
g_1_l2QT5ICr;Bethlehem;Atlanta United 2
g_1_WQFY4xSl;El Paso;New Mexico
g_1_ngv2Ab4R;LA Galaxy 2;Fresno
g_1_2NJ9UOrh;Tormenta;Toronto FC II
g_1_ltmv2ywn;Golden State Force;Breakers FC
g_1_r3nr1ehh;TSS Rovers;Lane United
g_1_QJFW60Om;Chicago W;North Carolina Courage W
g_1_riIpZaSt;La Guaira;Caracas
g_1_vPUDVbKg;France U19 W;Gabon U19 W
