g_1_SzQDZAeD;Argentino de Merlo;Real Pilar
g_1_8zFVFc62;Dinamo Batumi;Dinamo Tbilisi
g_1_jLBhtp9E;Augsburg;Hertha Berlin
g_1_2aVcK2ne;Bayer Leverkusen;Schalke
g_1_jPRgLrXl;Dortmund;Dusseldorf
g_1_prBdu4OK;Hannover;Freiburg
g_1_80xkMOHr;Hoffenheim;Werder Bremen
g_1_boF0vOwR;Nurnberg;B. Monchengladbach
g_1_dMU1JM11;RB Leipzig;Bayern Munich
g_1_zDT5ItH7;Stuttgart;Wolfsburg
g_1_zeYHmYDt;Energie Cottbus;Aalen
g_1_Ch1AQ1Cp;Grossaspach;Zwickau
g_1_YonjhE5P;Hallescher;Braunschweig
g_1_hWSMnhTn;Hansa Rostock;Uerdingen
g_1_6gZxqASB;Meppen;Jena
g_1_ppYtrUsI;Munich 1860;Fortuna Koln
g_1_jq0EPLRj;Preussen Munster;Karlsruher
g_1_QqRUpWca;Unterhaching;Lotte
g_1_WMRQoCrg;Wehen;VfL Osnabruck
g_1_OUqYqjD5;Wurzburger Kickers;Kaiserslautern
g_1_dzpnkVW2;Holstein Kiel II;BSV Rehden
g_1_lY2eS7Pk;Wolfsburg II;Egestorf-Langreder
g_1_rsofP1Po;Alemannia Aachen;Bonner
g_1_x4MkEyHp;B. Monchengladbach II;Dortmund II
g_1_fHlbOLvh;Kaan-Marienborn;Wuppertaler
g_1_OdtFKwvH;Lippstadt;Oberhausen
g_1_p6sBLJOA;RW Essen;Wiedenbruck
g_1_WMqNIH8T;Straelen;Viktoria Koln
g_1_SUn6Ma94;TV Herkenrath;Dusseldorf II
g_1_IJuJJcgN;Verl;Wattenscheid
g_1_h2wboqx5;Elversberg;Balingen
g_1_AwlgnPMb;FC 08 Homburg;Pirmasens
g_1_2Dpolohn;FSV Frankfurt;Stuttgart II
g_1_dzMtwLqo;Hessen Dreieich;Freiburg II
g_1_bat6qN6H;Mainz II;Steinbach Haiger
g_1_xjuArsMN;Ulm;Stadtallendorf
g_1_4xs2p3iB;Walldorf;Mannheim
g_1_Wnkkm57h;Worms;Kickers Offenbach
g_1_CnnQ5lvb;Aschaffenburg;Nurnberg II
g_1_QkjU48g4;Eichstatt;Burghausen
g_1_jgZiKmgi;Garching;Augsburg II
g_1_I54w1QhT;Illertissen;Memmingen
g_1_b3lx3nOG;Ingolstadt II;Schweinfurt
g_1_vF5Z16wN;Pipinsried;Heimstetten
g_1_zoi5dp1p;Schalding;Rosenheim
g_1_lle9e4Gj;SpVgg Bayreuth;Buchbach
g_1_IagjiVhS;Askania Bernburg;Wismut Gera
g_1_banvfX89;FC Ludwigsfelder;Krieschow
g_1_v9fnhBwM;Jena II;Blau-Weiss Zorbau
g_1_dp5sgiOF;Nordhausen II;Einheit Rudolstadt
g_1_lrpMo9Gk;Halle;Inter Leipzig
g_1_IcSQMK91;Eichede;TSV Kropp
g_1_AXOIOtuk;Eutin;TSV Lagerdorf
g_1_S8ZDPMPr;Lubeck II;Neumunster
g_1_GW6pskeG;Schilksee;Flensburg
g_1_lONMN0fe;Bordesholm;NTSV Strand 08
g_1_IBZ2CXjI;Heider SV;SC Weiche-08 II
g_1_SItDNJ27;Meiendorfer SV;Niendorfer TSV
g_1_69uHMwID;Curslack-Neuengamme;Barmbek-Uhlenhorst
g_1_QkxjWmW7;Aumund-Vegesack;Hastedt
g_1_SfGYfX88;BTS Neustadt;OSC Bremerhaven
g_1_4WLKp6P0;Kassel;Waldgirmes
g_1_neBPqQv7;Flieden;Fulda-Lehnerz
g_1_jTHGonAf;Giessen;Friedberg
g_1_hhbB7TWD;Hunfelder;Alzenau
g_1_WrcF6mnK;Lohfelden;Baunatal
g_1_bo9RHI6M;Hassia Bingen;Diefflen
g_1_4nxlZJyc;Rochling;Eintracht Trier
g_1_Chk2BGqj;Arminia Ludwigshafen;Schott Mainz
g_1_jql6Azad;VFB Dillingen;Idar-Oberstein
g_1_fHfcCdUq;Kaiserslautern II;Karbach
g_1_fwxhmiUh;DJK Bamberg;Aubstadt
g_1_pSU4pkEB;Eltersdorf;Wurzburger FV
g_1_ABXXsdhD;Erlangen;Wurzburger Kickers II
g_1_WKYTrxw7;Gebenbach;Seligenporten
g_1_GnwllXEn;Grossbardorf;Ammerthal
g_1_CGBG6uVD;Jahn Forchheim;Neumarkt
g_1_CEWdnBqa;Sand;ATSV
g_1_MPwpkDat;Spvgg Ansbach 09;Abtswind
g_1_j5V0oVb5;Vach;Bayern Hof
g_1_0K8Earoc;Hankofen-Hailing;Ismaning
g_1_ltuds1VS;Holzkirchen;Nordlingen
g_1_jkRNxLwp;Kirchanschoring;Vilzing
g_1_bFUVza8d;Rain/Lech;Dachau
g_1_p8AQdtVF;Regensburg II;Unterfohring
g_1_6HBMcMF9;Schwaben Augsburg;Pullach
g_1_CfCIb203;Schwabmunchen;Kottern-St. Mang
g_1_KOVRyugj;Sonthofen;Munich 1860 II
g_1_0v9ydAqQ;Goppinger SV;Oberachern
g_1_IJe3iUis;Normannia Gmund;Bissingen
g_1_xMB4k8Mg;Pforzheim;Villingen
g_1_dAf7jl7m;Stutt. Kickers;Spielberg
g_1_GCA8lSy0;Backnang;Ger. Friedrichstal
g_1_AZ9Cmni6;Bahlinger;Nottingen
g_1_613LoQLI;Linx;Freiberg
g_1_OxEGn66C;TSV Ilshofen;Ravensburg
g_1_ph2PppyP;Neckarsulmer;Reutlingen
g_1_KGo61yiB;Bremen U19;Dresden U19
g_1_QVTRIxMo;Hannover U19;Osnabruck U19
g_1_CSupfgqo;Jena U19;TSV Havelse U19
g_1_hraDaFLN;Magdeburg U19;RB Leipzig U19
g_1_Ei090e6H;Niendorfer TSV U19;Hamburger SV U19
g_1_z7lIbZzU;St. Pauli U19;Hertha U19
g_1_4MSVHdyh;Wolfsburg U19;Union Berlin U19
g_1_OY39lPnA;Freiburg U19;Augsburg U19
g_1_2TIESsQj;Bayern U19;Mainz U19
g_1_UZA0joIc;FSV Frankfurt U19;Karlsruher U19
g_1_fLQtWGWr;Hoffenheim U19;Stuttgart U19
g_1_jqCdiR2i;Ingolstadt U19;Eintracht Frankfurt U19
g_1_Cb05k5X3;Kaiserslautern U19;Heidenheim U19
g_1_Ie3Dmq2G;Nurnberg U19;Stuttgarter Kickers U19
g_1_dIG74jSP;B. Monchengladbach U19;Dusseldorf U19
g_1_CUUHsTKC;Bochum U19;Schalke U19
g_1_2agz0Azs;Dortmund U19;Duisburg U19
g_1_IRH35WCJ;Koln U19;Leverkusen U19
g_1_U5uDr956;Paderborn U19;Oberhausen U19
g_1_jLTLtmzJ;Rodinghausen U19;Preussen Munster U19
g_1_G2cvaUkm;RW Essen U19;Alemannia Aachen U19
g_1_QNBP7XGP;Boca Gibraltar;Lions Gibraltar
g_1_IF3i3iPt;Lincoln Red Imps;Europa FC
g_1_4vYP4eG3;PAOK;AEK Athens FC
g_1_zJMIHwji;Honved;DVTK
g_1_dYARFHK3;Mezokovesd-Zsory;Haladas
g_1_E9LMGc5c;MOL Vidi;MTK Budapest
g_1_88EVEyzA;Paks;Kisvarda
g_1_n3TzgfDj;Ujpest;Puskas Academy
g_1_8CUWgzbp;Ferencvaros;Debrecen
g_1_hQsWvobq;Szent Mihaly W;Haladas W
g_1_Yu1ap7zM;DVTK W;MLE W
g_1_I71a1KcC;Vestmannaeyjar;Grindavik
g_1_AFJ6abSO;Valur;Akranes
g_1_GYkO2O76;Haukar;Olafsvik
g_1_MVhW02xJ;Njardvik;Thor Akureyri
g_1_AekS1rNC;Magni;Keflavik
g_1_pYylqbVD;Leiknir F.;Vidir
g_1_dIr6KEhD;Selfoss;Fjardabyggd
g_1_4MlMQkFn;Volsungur;Vestri
g_1_277PP9Uh;KFG Gardabaer;Dalvik/Reynir
g_1_McaHRVat;Tindastoll;IR Reykjavik
g_1_ABa3GCjh;Esteghlal Khuzestan;Saipa
g_1_ldBfIYLu;Padideh Khorasan;Sepahan
g_1_OE37FW5b;Paykan;Naft Ahvaz
g_1_xIotaBLH;Persepolis;Machine Sazi
g_1_Iy3BEjL4;Sanat Naft;Esteghlal F.C.
g_1_KtyobVzO;Sepidrood Rasht;Nassaji Mazandaran
g_1_SnAbHhyn;Tractor;Pars Janoobi Jam
g_1_bXZlckjU;Zob Ahan;Foolad
g_1_bBQIWvIP;Al Bahri;Al Zawraa
g_1_QN7Hskji;Waterford;Sligo Rovers
g_1_xvobgvEp;Longford;Cabinteely
g_1_bwZn1NwG;H. Raanana;Beitar Jerusalem
g_1_2odIcTFQ;Maccabi Tel Aviv;Netanya
g_1_4frpgmOs;Yehuda;H. Beer Sheva
g_1_jmbSVuSk;Atalanta;Genoa
g_1_bD1zUJd2;Cagliari;Lazio
g_1_2oSGxC02;Fiorentina;AC Milan
g_1_UcPblWvr;Brescia;Benevento
g_1_29WUjP0t;Carpi;Venezia
g_1_QTKwgCWQ;Crotone;Ascoli
g_1_Qq918iWD;Lecce;Spezia
g_1_bwHFplv7;Padova;Livorno
g_1_8lO2mjfl;Palermo;Cittadella
g_1_2BN6nA9f;Perugia;Cremonese
g_1_xUFJq8gD;Pescara;Salernitana
g_1_GERAoUO0;Verona;Foggia
g_1_b5DrGJK6;Entella;Pordenone
g_1_Qq5TkAg6;Juventus U19;Genoa U19
g_1_GEJmiKkt;Inter U19;Torino U19
g_1_88AOjjv0;Empoli U19;Chievo U19
g_1_tUzYOeiO;Lazio U19;Lecce U19
g_1_n7yUPyxI;Spal U19;Ascoli U19
g_1_2uNgxAkt;Sagan Tosu;G-Osaka
g_1_d2McyU4n;C-Osaka;Yokohama M.
g_1_nDYL6GfB;V-Varen Nagasaki;Albirex Niigata
g_1_UyOQ5zAH;Verdy;Avispa Fukuoka
g_1_8SMU4fPN;Renofa Yamaguchi;Omiya Ardija
g_1_23yY3EvU;Ryukyu;Mito
g_1_SrQgsxQC;Inac Kobe Leonesa W;Parceiro Nagano W
g_1_6ZOctduJ;Nojima Stella W;Kunoichi W
g_1_8v3t5uIJ;Urawa W;JEF United W
g_1_Q3uQM7RB;Taraz;FC Astana
g_1_WttMNmC5;Ertis Pavlodar;Ordabasy
g_1_Au15ULIT;KF Feronikeli;Drita
g_1_SdVJmqJi;Liria;Kek-U
g_1_GI11V13N;Prishtina;KF Llapi
g_1_xMaENsJb;Kant;Dordoi Bishkek
g_1_6e4IM1Y4;Neftchi Kochkor-Ata;Alay Osh
g_1_0lGt6Wff;Auda;New Project
g_1_fBFp5jA0;FK Smiltene;Grobina
g_1_8EJl4AP6;Rezekne;Balvu
g_1_jw9g3UvD;Riga/Staicele;Alberts JDFS
g_1_UT7c2lfJ;Super Nova;Tukums 2000
g_1_dOFpTO4g;Riteriai;Zalgiris
g_1_zFElSrKa;Kauno Zalgiris;Suduva
g_1_8ARWp2ct;Banga;Hegelmann Litauen
g_1_dWcESKsC;Kretinga;Jonava
g_1_YgxrpDWj;PDRM FA;Sarawak FA
g_1_f3wvogHp;Penang;Kelantan
g_1_U7rI2LnI;UiTM;UKM
g_1_Auy13NQS;Felda Utd.;Kuala Lumpur
g_1_EDsh5qdG;Perak;PKNP
g_1_tMU7SnrA;Balzan;Birkirkara
g_1_Q713dcR9;U.A.N.L.- Tigres W;Monterrey W
g_1_thq5bpf0;Dinamo-Auto;Petrocub
g_1_bTg0aQvf;Milsami;Codru Lozova
g_1_htEqfqXb;Grbalj;Zeta
g_1_INLWdomt;Lovcen;Rudar
g_1_dEKzd52n;Mornar Bar;Iskra
g_1_t2pRy2HU;OFK Petrovac;Buducnost
g_1_EkFuePHh;Sutjeska;Titograd
g_1_QqyXtyK4;GVVV;Barendrecht
g_1_fLt8YCRp;HFC;Spakenburg
g_1_4zzyteZA;HHC;Kozakken Boys
g_1_zHJfdGJi;Scheveningen;De Treffers
g_1_IaktwgJT;IJsselmeervogels;Jong Vitesse
g_1_OxjxvZ3N;Excelsior Maassluis;AFC
g_1_pniYvFlH;Jong Sparta Rotterdam;Katwijk
g_1_dQKjcd4o;Rijnsburgse Boys;Lienden
g_1_4jObezZc;VVSB;Jong Almere City
g_1_n54TGY7J;Ajax (Am);ONS Sneek
g_1_Qe3XFhNP;DVS '33 Ermelo;ODIN '59
g_1_xzNxfB06;Harkemase Boys;Lisse
g_1_WdMtgVFC;Noordwijk;VV DOVO
g_1_AmLphkVI;Stedoco;Eemdijk
g_1_ryjaBCVt;ASWH;Achilles 29
g_1_v3q89j0g;Jong Groningen;SJC Noordwijk
g_1_dvf3AWpm;Quick Boys;VVOG
g_1_IgrC8AFa;De Dijk;Hoek
g_1_8OOQcce4;TEC;KVV Quick 20
g_1_bXTm2vTG;Ajax W;PEC Zwolle W
g_1_U1q3xvPG;Glentoran;Cliftonville
g_1_4nGTOGI6;Lillestrom;Rosenborg
g_1_lGZwzFeB;Sogndal;KFUM Oslo
g_1_4Yfs3s5J;Sola;Nardo
g_1_29zIdurm;Byasen;Fredrikstad
g_1_l6WDcLSt;Arendal;Moss
g_1_CY0t7dL5;Asane;Floro
g_1_IDhE3NED;Asker;Grorud
g_1_vL2Y8Ijg;Kjelsas;Baerum Sportsklubb
g_1_6TodS6iE;Oppsal;Fram
g_1_pUyoyWAP;Spjelkavik;Eidsvold
g_1_zaffE83C;Herd;Rommen SK
g_1_nwOCWkJt;Sunndal;Traeff
g_1_KlXXooz5;Ready;Lyn
g_1_QTS9sWrJ;Drobak-Frogn;Orn
g_1_j9qLlmjn;Frigg;Halsen
g_1_x6uHkTzt;Tonsberg;Ullern
g_1_COXTnRKb;Norild;Follo
g_1_SOct2r8C;Flint;Bryne 2
g_1_tMz3Jqwm;Vindbjart;Viking 2
g_1_vsSlFDia;Stord;Vestfossen
g_1_lhZyIF7t;Djerv 1919;V. Haugesund
g_1_A7NpGgxg;OS TF;Fyllingsdalen
g_1_Me45N5Ka;Steinkjer;Orkla
g_1_INcELqkC;Tiller;Gjovik-Lyn
g_1_4KgAMPZ5;Strindheim;Melhus
g_1_zu2gQ7zs;Ranheim 2;Nybergsund
g_1_0ITEXJIm;Bodo/Glimt 2;Harstad
g_1_fiuAiuAJ;Tromso 2;Leknes
g_1_UcLVTyIC;Melbo;Skjervoy
g_1_8lKZSeXI;Skjetten;Gjellerasen
g_1_2By9dkTk;LSK Kvinner W;Lyn W
g_1_8AJzFcqH;Avaldsnes W;Stabaek W
g_1_OKx5cVDq;Klepp W;Valerenga W
g_1_dYzDe9rd;Roa W;Fart W
g_1_88vHfTc2;Trondheims-Orn W;Sandviken W
g_1_IXlYFRZr;Arabe Unido;Alianza
g_1_8MsoDPJ1;Costa del Este;Independiente
g_1_n7gxFokk;Deportivo Universitario;Miguelito
g_1_QchtE54e;Plaza Amador;Tauro
g_1_GO26K7RR;San Francisco;Santa Gema
g_1_vBJOlvHG;Dep. Capiata;San Lorenzo
g_1_MZ8TmbWM;Diaz;Nacional Asuncion
g_1_2aakAUZ5;AD Cantolao;U. de Deportes
g_1_dnUlCj5g;Sport Boys;Carlos Mannucci
g_1_zDcc884I;Binacional;Union Comercio
g_1_489uA9R8;Cracovia;Lech Poznan
g_1_6970Wdvt;Slask Wroclaw;Plock
g_1_6ZzfBD8U;Legnica;Gornik Z.
g_1_lQdebQzi;Warta Poznan;GKS Katowice
g_1_zNhia6Lp;Bytovia Bytow;Chrobry Glogow
g_1_WlMu6xfc;Garbarnia;Olsztyn
g_1_vi7L4ScN;LKS Lodz;Chojniczanka
g_1_Is6P3nDT;Podbeskidzie;Odra Opole
g_1_rPDC6lTA;Sandecja Nowy S.;Rakow
g_1_hbNy7Ivi;Stal Mielec;Termalica B-B.
g_1_l2E87UD4;Suwalki;Puszcza
g_1_IqXXjqep;Elblag;R. Rzeszow
g_1_dzWyj3Aj;Ol. Grudziadz;Elana Torun
g_1_baj1d5XM;Pruszkow;Gryf Wejherowo
g_1_pdCWBpX9;Radomiak Radom;Siarka Tarnobrzeg
g_1_xjk5ePnT;Rozwoj Katowice;ROW Rybnik
g_1_OtOND62c;Ruch;Blekitni Stargard
g_1_4xiccoIG;S. Wola;Leczna
g_1_65DSCQH3;Skra;Pogon Siedlce
g_1_vJXTgxr0;Ruch Chorzow U18;Lech Poznan U18
g_1_OM1YjzSI;Gornik Z. U18;Escola Warszawa U18
g_1_nLhk1KkQ;Jagiellonia U18;Legia U18
g_1_I9WXhdc6;GKS Belchatow U18;Wisla U18
g_1_lUvHdvbs;Zaglebie U18;Torun U18
g_1_vgYl1Fts;Portimonense;Maritimo
g_1_t6Uj32CR;Santa Clara;Feirense
g_1_8GEVeK41;Boavista;Braga
g_1_juKQd0ke;Sporting;Tondela
g_1_8xvjyWGs;Leixoes;Ferreira
g_1_KWHcfBNJ;Academico Viseu;Penafiel
g_1_A1z7XmG6;Benfica B;Guimaraes B
g_1_WCGMhbnF;Arouca;Estoril
g_1_IXzjO5S9;Gil Vicente;AD Limianos
g_1_vkxZawXd;Valadares Gaia W;Ovarense W
g_1_v9pw5Sun;Sepsi;FCSB
g_1_zcXQKVy1;FC Hermannstadt;Concordia
g_1_EsqIMi7l;Poli Iasi;Calarasi
g_1_Mg9LUda6;Aerostar;Poli Timisoara
g_1_WOjCiK6J;Energeticianul;Sportul Snagov
g_1_SC75Yv0s;Luceafarul Oradea;Daco-Getica Bucuresti
g_1_j9XrnbUt;Metaloglobus;Pandurii
g_1_lSeEWIUg;Petrolul;Braila
g_1_AFkGjvMP;Chindia Targoviste;Balotesti
g_1_IL2USzUI;Politehnica Timisoara;Academica Clinceni
g_1_KSRO3atM;Yenisey;Krasnodar
g_1_C2OG5LB9;Akhmat Grozny;FK Krylya Sovetov Samara
g_1_hvchMreF;Luch;Spartak Moscow 2
g_1_2DnSFtYr;R. Volgograd;Tyumen
g_1_pxxXE0mk;Zenit Petersburg 2;M. Saransk
g_1_zeIWlmg9;Nizhny Novgorod;Krasnodar 2
g_1_AF7mNOu9;Shinnik Yaroslavl;Tomsk
g_1_dC3qO4Q2;Kursk;Sochi
g_1_UPwqCbX7;Armavir;Sibir
g_1_WUedL2AL;F. Voronezh;Chertanovo M.
g_1_dCuyEK2e;Baltika;SKA Khabarovsk
g_1_YaRDJXuB;Khimki 2;Kvant
g_1_4tBXZhQi;Saratov;Kaluga
g_1_EBrBIieH;Ryazan;Khimik Novomoskovsk
g_1_h2sFHBAN;Salyut-Belgorod;Lipetsk
g_1_nPtJGVPT;FK Strogino Moscow;D. Bryansk
g_1_QkCTzZAo;Saturn Ramenskoye;Krasnogorsk
g_1_bHwRmMrL;Dynamo Stavropol;Volgar-Astrakhan
g_1_nszNl2TE;Mashuk;Urozhay
g_1_ttTVntbR;Maykop;Spartak Nalchik
g_1_C6Mw0FH9;Vladikavkaz;Krasnodar 3
g_1_M991Iovq;Kolomna;Murom
g_1_2JH9GP8e;Leningradets;Tekstilshtik
g_1_ppnYZD9G;Znamya Truda;Chertanovo M. 2
g_1_4Yb6H5gk;Pskov 747;Dolgoprudny
g_1_dtHDFqO1;Dnepr Smolensk;Veles Moscow
g_1_zXFHE3w8;Lokomotiv-Kazanka;Vladimir
g_1_GAolyMs5;Akhmat Grozny U21;Krylya Sovetov Samara U21
g_1_0GSDisSo;Spartak Moscow U21;Ufa U21
g_1_v7RHj1sh;Zenit Petersburg U21;CSKA Moscow U21
g_1_2sGgW084;La Fiorita;Libertas
g_1_MVQWsvAJ;Al Batin;Ohod
g_1_ET5Bzd2g;Al Wehda;Al Qadisiya
g_1_Mg9JYZW5;Al-Ettifaq;Al-Hilal
g_1_0MPzsbPP;Al-Faisaly;Al Ahli SC
g_1_hEH2xIXt;Al-Hazem;Al-Nassr
g_1_W4G6yxmm;Al-Ittihad FC;Al-Fateh
g_1_KQnlJfXI;Al-Raed;Al Feiha
g_1_SW9FZFHa;Al-Shabab;Al-Taawon
g_1_EXVtHm99;Al Khaleej;Al Adalh
g_1_trGL951q;Al Najoom;Al Mojzel
g_1_AaPkFRwM;Al-Kawkab;Al Ansar
g_1_SzzoG7OF;Damac;Al Ain
g_1_SbIglXb4;Kilmarnock;Hibernian
g_1_6DLFgSzp;Livingston;Dundee FC
g_1_nPxDhnjj;St Johnstone;Motherwell
g_1_pxhPfet0;Inverness;Ayr
g_1_Cj85zRfo;Forfar Athletic;Raith
g_1_zRpxhgQI;Queen of South;Montrose
g_1_0S2jtHr4;Clyde;Edinburgh City
g_1_nPbnscTc;Stenhousemuir;Annan
g_1_YN7RYb1j;Cove Rangers;Berwick
g_1_WM1gsMJG;Mladost;Cukaricki
g_1_0d6cttZM;Napredak;Radnicki Nis
g_1_vm51u0lT;Vojvodina;Partizan
g_1_0xrL39Wm;Din. Vranje;Sp. Subotica
g_1_vTtP2Tof;FK Vozdovac;Backa
g_1_bVdQ07G6;Macva;Rad Beograd
g_1_KvbM1m10;Zemun;Radnik
g_1_fBJZnl4s;FK Indjija;Zlatibor Cajetina
g_1_h2X7iUeQ;Radnicki 1923;Metalac
g_1_zmEwnBWk;Geylang;Brunei DPMM
g_1_M7jw4UZp;Young Lions;Warriors
g_1_KGmuFrLQ;Slovan Bratislava;Zilina
g_1_f9v7A2Ts;Dun. Streda;Sered
g_1_lWwB9Mrl;Michalovce;Ruzomberok
g_1_hQy1KbE3;Nitra;Senica
g_1_6Tu5JIT9;Trnava;Podbrezova
g_1_lhV9IxqG;Z. Moravce;Trencin
g_1_rs5dZq5t;Banska Bystrica;Dubnica
g_1_YHIzIrz6;Komarno;I. Bratislava
g_1_QPzrGM4I;L. Mikulas;Poprad
g_1_jgTVIOKa;Lipany;Samorin
g_1_tYIUwQdP;Presov;Petrzalka
g_1_4GZoFtKO;Skalica;Bardejov
g_1_tnpjzJQl;Krsko;Mura
g_1_S2n2XGA7;Maribor;NK Olimpija Ljubljana
g_1_0tYqvj3d;Nafta;Dob
g_1_2ojcmftA;Beltinci;Ankaran
g_1_OfiglzR3;Drava;Tabor Sezana
g_1_8rg5oYAM;Jadran Dekani;Fuzinar
g_1_MkZuuWmj;NK Krka;Rogaska
g_1_j7rAphQS;Radomlje;Brezice
g_1_WS29y1re;Baroka;Maritzburg Utd
g_1_tp5RqPzF;Black Leopards;Cape Town City
g_1_Kz4VrqjL;Bloem Celtic;Amazulu
g_1_Ysp6xsTl;Chippa Utd.;Kaizer Chiefs
g_1_vLp2wNDr;Free State Stars;Mamelodi Sundowns
g_1_xCbzr35R;Golden Arrows;Bidvest Wits
g_1_nN5Np5L8;Orlando Pirates;Polokwane
g_1_EihEzLc1;Supersport Utd;Highlands
g_1_G6qRPE6t;Incheon;Pohang
g_1_ATrVOYLn;Seoul;Daegu
g_1_dndlHlBj;Seoul E.;Daejeon
g_1_OhpWuYmi;Jeonnam;Suwon City
g_1_EowvAxdc;Cheonan City;Busan Kyotong
g_1_0rZZAIti;Daejeon Korail;Gimhae
g_1_nuohnZ3j;Gyeongju KHNP;Gangneung
g_1_dASr9dB3;Mokpo City;Changwon
g_1_EJYLwc8q;Gijon;Lugo
g_1_SMxQxHNk;Gimnastic;Mallorca
g_1_APjfPcgj;Extremadura UD;Zaragoza
g_1_xxWhpaVF;Numancia;Alcorcon
g_1_pvHNybJI;Dep. La Coruna B;Navalcarnero
g_1_WWlJOj15;Bezana;Naval Reinosa
g_1_Cj6lvW0h;Guarnizo;Textil Escudo
g_1_EevONAGB;Laredo;Barreda Balompie
g_1_4Q2tthWu;Revilla;Siete Villas
g_1_hnwSMUVH;Rinconeda Polanco;Tropezon
g_1_IT6puCon;Santander B;Ribamontan al Mar
g_1_js5hwjGb;Torina;Cayon
g_1_0CxWLloO;UD Samano;Solares
g_1_v3yzL80U;Union Montanesa Escobedo;Atletico Albericia
g_1_ITpFPWoa;Vimenor;Velarde
g_1_thBErarj;Santboia;L Hospitalet
g_1_8EgySqik;Alzira;Silla CF
g_1_v1UV9fg2;Leganes B;San Agustin
g_1_fXj1PZhk;RSD Alcala;Villaverde San Andres
g_1_63nrlS30;La Virgen;Briviesca
g_1_Q3gfoQmJ;Burgos Promesas;Sporting Uxama
g_1_GW45hsen;Almazan;Real Avila
g_1_Y7aAi1Ah;Atl. Astorga;La Granja
g_1_xUsvk8lf;Atl. Tordesillas;Cristo Atletico
g_1_xt61gNut;Santa Marta Tormes;Leonesa 2
g_1_bibVCKfP;River Melilla;Antequera
g_1_lMGvjcmC;CD Alhaurino;El Palo
g_1_OvafHCh2;San Roque;Ceuta
g_1_lM6sKE8q;Atletico Espeleno;Ciudad de Lucena
g_1_biQPWihk;Xerez CD;Cordoba B
g_1_bs3mWF44;Ibiza Islas Pitiusas;Mercadal
g_1_t6hhVZJA;San Rafael;Constancia
g_1_SMj0TDlN;Esporles;Alcudia
g_1_pvaqXekb;Murense;Felanitx
g_1_KdidUgZG;Poblense;Santanyi
g_1_CAQgKvNe;Atletico Union Guimar;Panaderia Pulido San Mateo
g_1_ImRkLK7k;Las Zocas;Lanzarote
g_1_fqRKi3DH;Aguilas FC;Real Murcia B
g_1_KlirvpqI;EDMF Churra;Ciudad Cieza
g_1_tbhvuQTB;Mar Menor;CD Algar
g_1_pbRYbwCB;Pueblonuevo;Merida AD
g_1_f9YL1uSh;Valdelacalzada;Cacereno
g_1_jySUaJd5;CD Calamonte;CD Coria
g_1_fLGOS47a;Beti Kozkor;Cirbonero
g_1_4WNBV6Nt;Cortes;AD San Juan
g_1_2NypzmFP;Alesves;Pena
g_1_fLfgDP7C;Burlades;Subiza
g_1_M7IGUQxm;CD Baztan;CD Cantolagua
g_1_neioFow0;CD Corellano;Beti Onak
g_1_GUekE5h6;Ezcabarte;Osasuna B
g_1_xppbCqNI;Huarte;CD Ardoi
g_1_0bHKTphg;Mutilvera;Txantrea
g_1_lKm2B3xP;Pamplona;Valle Egues
g_1_4nCef8fG;Alfaro;Haro Deportivo
g_1_rwTIUuzi;San Juan Zaragoza;San Lorenzo Flumen
g_1_j1HFLq19;Azuqueca;La Roda
g_1_fZN6N5Wd;Madridejos;Villarrobledo
g_1_8xSAMPo3;Villacanas;Quintanar
g_1_xbit7pnG;Tomelloso CF;Ciudad Real
g_1_tWZObMgd;Villarrubia;Albacete B
g_1_GAPQUvhF;Atl. Madrid W;Real Sociedad W
g_1_8z5SbLHK;Ostersunds;Hacken
g_1_xCA3jcP0;AFC Eskilstuna;Falkenbergs
g_1_nR3WcuXQ;Kalmar;Helsingborg
g_1_ED5Oa12E;Sundsvall;Orebro
g_1_vmsYkFAM;Trelleborgs;Halmstad
g_1_MBWxkZPS;Brommapojkarna;Degerfors
g_1_biAf7Guc;Varbergs;Dalkurd
g_1_QqwUjeeG;Orgryte;Jonkopings
g_1_0MLw8h3e;Bodens;Team TG FF
g_1_UXseGGeF;Karlslunds;Gefle
g_1_S8NV9EYr;Sollentuna;Rynninge
g_1_d6UmIxR2;Sylvia;Forward
g_1_zP3qB9qf;Landskrona;Lunds
g_1_h25G7zw2;Assyriska IK;Eskilsminne
g_1_MLauCkUm;Ljungskile;Trollhattan
g_1_f7qaWJF2;Torns;Lindome
g_1_fHnD8GNe;Utsiktens;Skovde AIK
g_1_xMu66hwc;IFK Umea;Kramfors-Alliansen
g_1_ABXI3jNF;Sandviks;Skelleftea
g_1_WKYE4W79;Taftea IK;Friska Viljor
g_1_IyyR1UiS;Anundsjo;Umea FC
g_1_voxN2AxM;Gottne IF;Timra
g_1_GO0QFBoS;Skiljebo;Kvarnsvedens
g_1_8GhhBVgq;Enkopings SK;Kungsangens
g_1_n7idAk9k;Taby;Upsala
g_1_nq99Jgn3;Valbo FF;Karlbergs
g_1_f9CHHXGF;Hudiksvalls;Lidingo IFK
g_1_t68DID19;IFK Stocksund;Mora
g_1_6mSh3mmo;Eslovs;Ullareds IK
g_1_z5yN89PN;Olympic;IFK Malmo
g_1_4vtR7TvU;Stafsinge;Hittarps
g_1_8h6ySWPo;Halmia;Rosengard
